"","ID","Location","site_num","Tapping","Tree_num","C_pos.","Device","nm","refl","Tree_ID","r800","NDVI","SR"
"1","AW-1-I-03-L-D2","AW-1",1,"I",3,"L","D2",793,0.369257622783168,"AW-1-I-03-L",0.369257622783168,0.52256428881955,3.17979481340417
"2","AW-1-I-03-M-D2","AW-1",1,"I",3,"M","D2",793,0.405699039386272,"AW-1-I-03-M",0.405699039386272,0.613101640624982,4.13199683129303
"3","AW-1-I-03-T-D2","AW-1",1,"I",3,"T","D2",793,0.403703459580597,"AW-1-I-03-T",0.403703459580597,0.630735909927037,4.38706809869197
"4","AW-1-I-06-L-D2","AW-1",1,"I",6,"L","D2",793,0.417271167340688,"AW-1-I-06-L",0.417271167340688,0.549679893992544,3.43939025784451
"5","AW-1-I-06-M-D2","AW-1",1,"I",6,"M","D2",793,0.351896376248259,"AW-1-I-06-M",0.351896376248259,0.694526701226295,5.50009197586184
"6","AW-1-I-06-T-D2","AW-1",1,"I",6,"T","D2",793,0.388861865611283,"AW-1-I-06-T",0.388861865611283,0.549203481521553,3.43768064421033
"7","AW-1-I-09-L-D2","AW-1",1,"I",9,"L","D2",793,0.395446241437432,"AW-1-I-09-L",0.395446241437432,0.638633032140078,4.53784192011206
"8","AW-1-I-09-M-D2","AW-1",1,"I",9,"M","D2",793,0.393974649071743,"AW-1-I-09-M",0.393974649071743,0.662308062953783,4.94413228960382
"9","AW-1-I-09-T-D2","AW-1",1,"I",9,"T","D2",793,0.436128788969746,"AW-1-I-09-T",0.436128788969746,0.558945102068806,3.5011304323537
"10","AW-1-I-12-L-D2","AW-1",1,"I",12,"L","D2",793,0.404881497190907,"AW-1-I-12-L",0.404881497190907,0.598220390429703,3.97966569666476
"11","AW-1-I-12-M-D2","AW-1",1,"I",12,"M","D2",793,0.38539877584063,"AW-1-I-12-M",0.38539877584063,0.709603272822866,5.86468112472934
"12","AW-1-I-12-T-D2","AW-1",1,"I",12,"T","D2",793,0.407341339439011,"AW-1-I-12-T",0.407341339439011,0.585964884487058,3.8072416378719
"13","AW-1-I-15-L-D2","AW-1",1,"I",15,"L","D2",793,0.448160276992021,"AW-1-I-15-L",0.448160276992021,0.624158488571285,4.34806039078034
"14","AW-1-I-15-M-D2","AW-1",1,"I",15,"M","D2",793,0.441427054576343,"AW-1-I-15-M",0.441427054576343,0.656031466765521,4.77702503180942
"15","AW-1-I-15-T-D2","AW-1",1,"I",15,"T","D2",793,0.407717670057288,"AW-1-I-15-T",0.407717670057288,0.65173649883049,4.69809888738554
"16","AW-1-I-18-L-D2","AW-1",1,"I",18,"L","D2",793,0.365875538801524,"AW-1-I-18-L",0.365875538801524,0.644062900774299,4.59695621836565
"17","AW-1-I-18-M-D2","AW-1",1,"I",18,"M","D2",793,0.410213427274931,"AW-1-I-18-M",0.410213427274931,0.637708912145203,4.50782501801205
"18","AW-1-I-18-T-D2","AW-1",1,"I",18,"T","D2",793,0.422589715281263,"AW-1-I-18-T",0.422589715281263,0.559623543919715,3.52393348561017
"19","AW-1-I-21-L-D2","AW-1",1,"I",21,"L","D2",793,0.420927834791344,"AW-1-I-21-L",0.420927834791344,0.647320431845079,4.65289706201857
"20","AW-1-I-21-M-D2","AW-1",1,"I",21,"M","D2",793,0.420575688648928,"AW-1-I-21-M",0.420575688648928,0.547864506740528,3.40010138697344
"21","AW-1-I-21-T-D2","AW-1",1,"I",21,"T","D2",793,0.403929625901119,"AW-1-I-21-T",0.403929625901119,0.636279128245946,4.47973346928001
"22","AW-1-I-24-L-D2","AW-1",1,"I",24,"L","D2",793,0.441211286318923,"AW-1-I-24-L",0.441211286318923,0.607048382116147,4.0373916001878
"23","AW-1-I-24-M-D2","AW-1",1,"I",24,"M","D2",793,0.387484934078801,"AW-1-I-24-M",0.387484934078801,0.690709259438885,5.39599411571414
"24","AW-1-I-24-T-D2","AW-1",1,"I",24,"T","D2",793,0.420997560014204,"AW-1-I-24-T",0.420997560014204,0.664905565115679,4.96424718678851
"25","AW-1-I-27-L-D2","AW-1",1,"I",27,"L","D2",793,0.430766579723472,"AW-1-I-27-L",0.430766579723472,0.65548199826292,4.76006797421871
"26","AW-1-I-27-M-D2","AW-1",1,"I",27,"M","D2",793,0.413966402977996,"AW-1-I-27-M",0.413966402977996,0.585741128265215,3.79494131349733
"27","AW-1-I-27-T-D2","AW-1",1,"I",27,"T","D2",793,0.427366805816503,"AW-1-I-27-T",0.427366805816503,0.664535533195754,4.95943037289135
"28","AW-1-I-30-L-D2","AW-1",1,"I",30,"L","D2",793,0.426506245322616,"AW-1-I-30-L",0.426506245322616,0.670742254909633,5.06367587796537
"29","AW-1-I-30-M-D2","AW-1",1,"I",30,"M","D2",793,0.444359195871015,"AW-1-I-30-M",0.444359195871015,0.665526177894438,4.91107627633186
"30","AW-1-I-30-T-D2","AW-1",1,"I",30,"T","D2",793,0.419809138086072,"AW-1-I-30-T",0.419809138086072,0.649665013341196,4.71086433325473
"31","AW-1-O-1-L-D2","AW-1",1,"O",1,"L","D2",793,0.496147823920857,"AW-1-O-1-L",0.496147823920857,0.609056819464089,4.08243816384228
"32","AW-1-O-1-M-D2","AW-1",1,"O",1,"M","D2",793,0.481695827335921,"AW-1-O-1-M",0.481695827335921,0.514840914190608,3.11962209994803
"33","AW-1-O-1-T-D2","AW-1",1,"O",1,"T","D2",793,0.492443104509296,"AW-1-O-1-T",0.492443104509296,0.565390344662275,3.62168137461353
"34","AW-1-O-2-L-D2","AW-1",1,"O",2,"L","D2",793,0.467859248339661,"AW-1-O-2-L",0.467859248339661,0.57152781333445,3.6286342925919
"35","AW-1-O-2-M-D2","AW-1",1,"O",2,"M","D2",793,0.52206176871133,"AW-1-O-2-M",0.52206176871133,0.512630897027617,3.10576338824806
"36","AW-1-O-2-T-D2","AW-1",1,"O",2,"T","D2",793,0.504024461406891,"AW-1-O-2-T",0.504024461406891,0.580672236423916,3.74360151915333
"37","AW-1-O-3-L-D2","AW-1",1,"O",3,"L","D2",793,0.496163717759619,"AW-1-O-3-L",0.496163717759619,0.573496449476078,3.71170309193828
"38","AW-1-O-3-M-D2","AW-1",1,"O",3,"M","D2",793,0.495208145636821,"AW-1-O-3-M",0.495208145636821,0.581609433558655,3.78088065102911
"39","AW-1-O-3-T-D2","AW-1",1,"O",3,"T","D2",793,0.540058938665697,"AW-1-O-3-T",0.540058938665697,0.47231621774781,2.77920442620439
"40","AW-1-O-4-L-D2","AW-1",1,"O",4,"L","D2",793,0.45330854705231,"AW-1-O-4-L",0.45330854705231,0.520283821681801,3.13300120217943
"41","AW-1-O-4-M-D2","AW-1",1,"O",4,"M","D2",793,0.489494950678067,"AW-1-O-4-M",0.489494950678067,0.606045523514401,4.02940185501911
"42","AW-1-O-4-T-D2","AW-1",1,"O",4,"T","D2",793,0.530531675736212,"AW-1-O-4-T",0.530531675736212,0.524409196958801,3.18322407957979
"43","AW-1-T-03-L-D2","AW-1",1,"T",3,"L","D2",793,0.421464896631224,"AW-1-T-03-L",0.421464896631224,0.687080604777664,5.41644025382661
"44","AW-1-T-03-M-D2","AW-1",1,"T",3,"M","D2",793,0.421013133208256,"AW-1-T-03-M",0.421013133208256,0.664437056920226,4.97824450756079
"45","AW-1-T-03-T-D2","AW-1",1,"T",3,"T","D2",793,0.47104937335759,"AW-1-T-03-T",0.47104937335759,0.616051307161598,4.24633435217438
"46","AW-1-T-06-L-D2","AW-1",1,"T",6,"L","D2",793,0.430057918170431,"AW-1-T-06-L",0.430057918170431,0.683072485150711,5.26349310591581
"47","AW-1-T-06-M-D2","AW-1",1,"T",6,"M","D2",793,0.366409152189705,"AW-1-T-06-M",0.366409152189705,0.692945018835671,5.50322012937059
"48","AW-1-T-06-T-D2","AW-1",1,"T",6,"T","D2",793,0.387132351742368,"AW-1-T-06-T",0.387132351742368,0.719071415098947,6.08002444031145
"49","AW-1-T-09-L-D2","AW-1",1,"T",9,"L","D2",793,0.427127693403446,"AW-1-T-09-L",0.427127693403446,0.594194926468001,3.90376122833084
"50","AW-1-T-09-M-D2","AW-1",1,"T",9,"M","D2",793,0.383794028633397,"AW-1-T-09-M",0.383794028633397,0.623655093899085,4.30796568423686
"51","AW-1-T-09-T-D2","AW-1",1,"T",9,"T","D2",793,0.428414121405251,"AW-1-T-09-T",0.428414121405251,0.627321406186451,4.3788202740462
"52","AW-1-T-12-L-D2","AW-1",1,"T",12,"L","D2",793,0.420382208021269,"AW-1-T-12-L",0.420382208021269,0.639255269820931,4.57210097919923
"53","AW-1-T-12-M-D2","AW-1",1,"T",12,"M","D2",793,0.415722875693785,"AW-1-T-12-M",0.415722875693785,0.576790310301409,3.69896285604789
"54","AW-1-T-12-T-D2","AW-1",1,"T",12,"T","D2",793,0.427020418118755,"AW-1-T-12-T",0.427020418118755,0.639358487118573,4.54844633281951
"55","AW-1-T-15-L-D2","AW-1",1,"T",15,"L","D2",793,0.409763386921961,"AW-1-T-15-L",0.409763386921961,0.63717872698358,4.52584554548584
"56","AW-1-T-15-M-D2","AW-1",1,"T",15,"M","D2",793,0.386739568661454,"AW-1-T-15-M",0.386739568661454,0.668642472551091,5.02410091479063
"57","AW-1-T-15-T-D2","AW-1",1,"T",15,"T","D2",793,0.397912556773001,"AW-1-T-15-T",0.397912556773001,0.666697046908052,4.98117801214958
"58","AW-1-T-18-L-D2","AW-1",1,"T",18,"L","D2",793,0.392553608042458,"AW-1-T-18-L",0.392553608042458,0.560997295090838,3.52373688401947
"59","AW-1-T-18-M-D2","AW-1",1,"T",18,"M","D2",793,0.425890939313338,"AW-1-T-18-M",0.425890939313338,0.53885538517383,3.32069618039239
"60","AW-1-T-18-T-D2","AW-1",1,"T",18,"T","D2",793,0.408985610607087,"AW-1-T-18-T",0.408985610607087,0.484852238155309,2.88389906809831
"61","AW-1-T-21-L-D2","AW-1",1,"T",21,"L","D2",793,0.404206468912351,"AW-1-T-21-L",0.404206468912351,0.657955586083283,4.82737276946736
"62","AW-1-T-21-M-D2","AW-1",1,"T",21,"M","D2",793,0.375259515570934,"AW-1-T-21-M",0.375259515570934,0.609344028255347,4.10033812930497
"63","AW-1-T-21-T-D2","AW-1",1,"T",21,"T","D2",793,0.37157090057476,"AW-1-T-21-T",0.37157090057476,0.705276657047567,5.77209980008831
"64","AW-1-T-24-L-D2","AW-1",1,"T",24,"L","D2",793,0.384195050519657,"AW-1-T-24-L",0.384195050519657,0.638366042924712,4.53165661493882
"65","AW-1-T-24-M-D2","AW-1",1,"T",24,"M","D2",793,0.386991118713957,"AW-1-T-24-M",0.386991118713957,0.664759474377266,4.94173118143345
"66","AW-1-T-24-T-D2","AW-1",1,"T",24,"T","D2",793,0.410396716826265,"AW-1-T-24-T",0.410396716826265,0.585977031648242,3.8197137500448
"67","AW-1-T-27-L-D2","AW-1",1,"T",27,"L","D2",793,0.424814505831276,"AW-1-T-27-L",0.424814505831276,0.609236519923402,4.14150088231962
"68","AW-1-T-27-M-D2","AW-1",1,"T",27,"M","D2",793,0.398383541513593,"AW-1-T-27-M",0.398383541513593,0.627561567702182,4.35040653264904
