"","Time","Name","GPS","NDVI","SR","OSAVI","ZMI","Ctr2","Lic1","GM2","MCARI1","G","MCARI","TCARI","TVI","SPRI","NPQI","PRI","NPCI","Ctr1","Lic2","SIPI","GM1","ARI1","ARI2","CRI1","CRI2","Date","Datetime","ID","Location","site_num","Tapping","Tree_num","C_pos.","Device","ID2","Tree_ID","Coordinates"
"V2...1","25/06/2024 09:57","AW-1-I-03-T-D1","12° 41.7635' N  36° 18.8299' E",0.437421373,"2.555058625",0.504367743,"1.541528992","0.394344264","0.585494573","2.073177402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 09:57:00,"AW-1-I-03-T-D1","AW-1","1","I","03","T","D1","AW-02-I-03-T-D1","AW-1-I-03-T","12° 41.7635' N  36° 18.8299' E"
"V3...2","25/06/2024 09:58","AW-1-I-03-M-D1","12° 41.7635' N  36° 18.8299' E",0.49868349,"2.989495582",0.557539024,"1.652194404","0.333716348","0.642013566","2.364465554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 09:58:00,"AW-1-I-03-M-D1","AW-1","1","I","03","M","D1","AW-02-I-03-M-D1","AW-1-I-03-M","12° 41.7635' N  36° 18.8299' E"
"V4...3","25/06/2024 09:59","AW-1-I-03-L-D1","12° 41.7635' N  36° 18.8299' E",0.524967062,"3.210234367",0.577190441,"1.706810883","0.315433419","0.660272532","2.477698792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 09:59:00,"AW-1-I-03-L-D1","AW-1","1","I","03","L","D1","AW-02-I-03-L-D1","AW-1-I-03-L","12° 41.7635' N  36° 18.8299' E"
"V5...4","25/06/2024 10:00","AW-1-I-06-T-D1","12° 41.7655' N  36° 18.8324' E",0.510133953,"3.082748772",0.561108445,"1.66029689","0.327201294","0.650748505","2.395812641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:00:00,"AW-1-I-06-T-D1","AW-1","1","I","06","T","D1","AW-02-I-06-T-D1","AW-1-I-06-T","12° 41.7655' N  36° 18.8324' E"
"V6...5","25/06/2024 10:00","AW-1-I-06-M-D1","12° 41.7655' N  36° 18.8324' E",0.52759142,"3.233623362",0.538855427,"1.717593317","0.31988313","0.634070951","2.4804595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:00:00,"AW-1-I-06-M-D1","AW-1","1","I","06","M","D1","AW-02-I-06-M-D1","AW-1-I-06-M","12° 41.7655' N  36° 18.8324' E"
"V7...6","25/06/2024 10:01","AW-1-I-06-L-D1","12° 41.7655' N  36° 18.8324' E",0.458377817,"2.69261094",0.529893158,"1.530914607","0.37292095","0.618891306","2.127119244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:01:00,"AW-1-I-06-L-D1","AW-1","1","I","06","L","D1","AW-02-I-06-L-D1","AW-1-I-06-L","12° 41.7655' N  36° 18.8324' E"
"V8...7","25/06/2024 10:02","AW-1-I-09-T-D1","12° 41.7655' N  36° 18.8324' E",0.392513997,"2.292256926",0.467855638,"1.457125684","0.452637733","0.540073033","1.861050837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:02:00,"AW-1-I-09-T-D1","AW-1","1","I","09","T","D1","AW-02-I-09-T-D1","AW-1-I-09-T","12° 41.7655' N  36° 18.8324' E"
"V9...8","25/06/2024 10:02","AW-1-I-09-M-D1","12° 41.7655' N  36° 18.8324' E",0.470411787,"2.776519094",0.549325689,"1.557518548","0.361408742","0.628013441","2.185297764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:02:00,"AW-1-I-09-M-D1","AW-1","1","I","09","M","D1","AW-02-I-09-M-D1","AW-1-I-09-M","12° 41.7655' N  36° 18.8324' E"
"V10...9","25/06/2024 10:02","AW-1-I-09-L-D1","12° 41.7655' N  36° 18.8324' E",0.473661265,"2.79983434",0.551330697,"1.560442974","0.358655742","0.631185433","2.195707999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:02:00,"AW-1-I-09-L-D1","AW-1","1","I","09","L","D1","AW-02-I-09-L-D1","AW-1-I-09-L","12° 41.7655' N  36° 18.8324' E"
"V11...10","25/06/2024 10:05","AW-1-I-12-T-D1","12° 41.7683' N  36° 18.8337' E",0.540871862,"3.356082396",0.583005871,"1.740782856","0.301223747","0.681231822","2.563983003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:05:00,"AW-1-I-12-T-D1","AW-1","1","I","12","T","D1","AW-02-I-12-T-D1","AW-1-I-12-T","12° 41.7683' N  36° 18.8337' E"
