"","ID","Location","Tapping","Tree_num","C_pos.","Coordinates","Tree_ID","lat","lon"
"1","AW-1-T-03-T-D1","AW-1","T",3,"T","12° 41.7805' N  36° 18.8301' E","AW-1-T-03-T",12.6963416666667,36.313835
"257","AW-1-T-03-M-D1","AW-1","T",3,"M","12° 41.7805' N  36° 18.8301' E","AW-1-T-03-M",12.6963416666667,36.313835
"513","AW-1-T-03-L-D1","AW-1","T",3,"L","12° 41.7805' N  36° 18.8301' E","AW-1-T-03-L",12.6963416666667,36.313835
"769","AW-1-T-06-T-D1","AW-1","T",6,"T","12° 41.7816' N  36° 18.8268' E","AW-1-T-06-T",12.69636,36.31378
"1025","AW-1-T-06-M-D1","AW-1","T",6,"M","12° 41.7816' N  36° 18.8268' E","AW-1-T-06-M",12.69636,36.31378
"1281","AW-1-T-06-L-D1","AW-1","T",6,"L","12° 41.7816' N  36° 18.8268' E","AW-1-T-06-L",12.69636,36.31378
"1537","AW-1-T-09-T-D1","AW-1","T",9,"T","12° 41.7816' N  36° 18.8268' E","AW-1-T-09-T",12.69636,36.31378
"1793","AW-1-T-09-M-D1","AW-1","T",9,"M","12° 41.7845' N  36° 18.8260' E","AW-1-T-09-M",12.6964083333333,36.3137666666667
"2049","AW-1-T-09-L-D1","AW-1","T",9,"L","12° 41.7845' N  36° 18.8260' E","AW-1-T-09-L",12.6964083333333,36.3137666666667
"2305","AW-1-T-12-T-D1","AW-1","T",12,"T","12° 41.7902' N  36° 18.8346' E","AW-1-T-12-T",12.6965033333333,36.31391
"2561","AW-1-T-12-M-D1","AW-1","T",12,"M","12° 41.7902' N  36° 18.8346' E","AW-1-T-12-M",12.6965033333333,36.31391
"2817","AW-1-T-12-L-D1","AW-1","T",12,"L","12° 41.7902' N  36° 18.8346' E","AW-1-T-12-L",12.6965033333333,36.31391
"3073","AW-1-T-15-T-D1","AW-1","T",15,"T","12° 41.7931' N  36° 18.8411' E","AW-1-T-15-T",12.6965516666667,36.3140183333333
"3329","AW-1-T-15-M-D1","AW-1","T",15,"M","12° 41.7931' N  36° 18.8411' E","AW-1-T-15-M",12.6965516666667,36.3140183333333
"3585","AW-1-T-15-L-D1","AW-1","T",15,"L","12° 41.7931' N  36° 18.8411' E","AW-1-T-15-L",12.6965516666667,36.3140183333333
"3841","AW-1-T-18-T-D1","AW-1","T",18,"T","12° 41.7899' N  36° 18.8418' E","AW-1-T-18-T",12.6964983333333,36.31403
"4097","AW-1-T-18-M-D1","AW-1","T",18,"M","12° 41.7899' N  36° 18.8418' E","AW-1-T-18-M",12.6964983333333,36.31403
"4353","AW-1-T-18-L-D1","AW-1","T",18,"L","12° 41.7899' N  36° 18.8418' E","AW-1-T-18-L",12.6964983333333,36.31403
"4609","AW-1-T-21-T-D1","AW-1","T",21,"T","12° 41.7851' N  36° 18.8457' E","AW-1-T-21-T",12.6964183333333,36.314095
"4865","AW-1-T-21-M-D1","AW-1","T",21,"M","12° 41.7851' N  36° 18.8457' E","AW-1-T-21-M",12.6964183333333,36.314095
"5121","AW-1-T-21-L-D1","AW-1","T",21,"L","12° 41.7843' N  36° 18.8483' E","AW-1-T-21-L",12.696405,36.3141383333333
"5377","AW-1-T-24-T-D1","AW-1","T",24,"T","12° 41.7866' N  36° 18.8572' E","AW-1-T-24-T",12.6964433333333,36.3142866666667
"5633","AW-1-T-24-M-D1","AW-1","T",24,"M","12° 41.7866' N  36° 18.8572' E","AW-1-T-24-M",12.6964433333333,36.3142866666667
"5889","AW-1-T-24-L-D1","AW-1","T",24,"L","12° 41.7866' N  36° 18.8572' E","AW-1-T-24-L",12.6964433333333,36.3142866666667
"6145","AW-1-T-27-T-D1","AW-1","T",27,"T","12° 41.7850' N  36° 18.8509' E","AW-1-T-27-T",12.6964166666667,36.3141816666667
"6401","AW-1-T-27-M-D1","AW-1","T",27,"M","12° 41.7850' N  36° 18.8509' E","AW-1-T-27-M",12.6964166666667,36.3141816666667
"6657","AW-1-T-27-L-D1","AW-1","T",27,"L","12° 41.7850' N  36° 18.8509' E","AW-1-T-27-L",12.6964166666667,36.3141816666667
"6913","AW-1-T-30-T-D1","AW-1","T",30,"T","12° 41.7916' N  36° 18.8488' E","AW-1-T-30-T",12.6965266666667,36.3141466666667
