Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,25/06/2024 09:57,25/06/2024 09:58,25/06/2024 09:59,25/06/2024 10:00,25/06/2024 10:00,25/06/2024 10:01,25/06/2024 10:02,25/06/2024 10:02,25/06/2024 10:02,25/06/2024 10:05,25/06/2024 10:06,25/06/2024 10:06,25/06/2024 10:07,25/06/2024 10:08,25/06/2024 10:09,25/06/2024 10:10,25/06/2024 10:11,25/06/2024 10:12,25/06/2024 10:15,25/06/2024 10:15,25/06/2024 10:16,25/06/2024 10:16,25/06/2024 10:17,25/06/2024 10:17,25/06/2024 10:18,25/06/2024 10:18,25/06/2024 10:19,25/06/2024 10:20,25/06/2024 10:21,25/06/2024 10:21
Name,AW-1-I-03-T-D1,AW-1-I-03-M-D1,AW-1-I-03-L-D1,AW-1-I-06-T-D1,AW-1-I-06-M-D1,AW-1-I-06-L-D1,AW-1-I-09-T-D1,AW-1-I-09-M-D1,AW-1-I-09-L-D1,AW-1-I-12-T-D1,AW-1-I-12-M-D1,AW-1-I-12-L-D1,AW-1-I-15-T-D1,AW-1-I-15-M-D1,AW-1-I-15-L-D1,AW-1-I-18-T-D1,AW-1-I-18-M-D1,AW-1-I-18-L-D1,AW-1-I-21-T-D1,AW-1-I-21-M-D1,AW-1-I-21-L-D1,AW-1-I-24-T-D1,AW-1-I-24-M-D1,AW-1-I-24-L-D1,AW-1-I-27-T-D1,AW-1-I-27-M-D1,AW-1-I-27-L-D1,AW-1-I-30-T-D1,AW-1-I-30-M-D1,AW-1-I-30-L-D1
GPS,12° 41.7635' N  36° 18.8299' E,12° 41.7635' N  36° 18.8299' E,12° 41.7635' N  36° 18.8299' E,12° 41.7655' N  36° 18.8324' E,12° 41.7655' N  36° 18.8324' E,12° 41.7655' N  36° 18.8324' E,12° 41.7655' N  36° 18.8324' E,12° 41.7655' N  36° 18.8324' E,12° 41.7655' N  36° 18.8324' E,12° 41.7683' N  36° 18.8337' E,12° 41.7683' N  36° 18.8337' E,12° 41.7683' N  36° 18.8337' E,12° 41.7743' N  36° 18.8417' E,12° 41.7743' N  36° 18.8417' E,12° 41.7743' N  36° 18.8417' E,12° 41.7743' N  36° 18.8417' E,12° 41.7743' N  36° 18.8417' E,12° 41.7743' N  36° 18.8417' E,12° 41.7765' N  36° 18.8362' E,12° 41.7765' N  36° 18.8362' E,12° 41.7765' N  36° 18.8362' E,12° 41.7771' N  36° 18.8332' E,12° 41.7771' N  36° 18.8332' E,12° 41.7771' N  36° 18.8332' E,12° 41.7771' N  36° 18.8332' E,12° 41.7771' N  36° 18.8332' E,12° 41.7798' N  36° 18.8337' E,12° 41.7798' N  36° 18.8337' E,12° 41.7798' N  36° 18.8337' E,12° 41.7798' N  36° 18.8337' E
-----------------------End of Scope ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,25/06/2024 09:57,25/06/2024 09:58,25/06/2024 09:59,25/06/2024 10:00,25/06/2024 10:00,25/06/2024 10:01,25/06/2024 10:02,25/06/2024 10:02,25/06/2024 10:02,25/06/2024 10:05,25/06/2024 10:06,25/06/2024 10:06,25/06/2024 10:07,25/06/2024 10:08,25/06/2024 10:09,25/06/2024 10:10,25/06/2024 10:11,25/06/2024 10:12,25/06/2024 10:15,25/06/2024 10:15,25/06/2024 10:16,25/06/2024 10:16,25/06/2024 10:17,25/06/2024 10:17,25/06/2024 10:18,25/06/2024 10:18,25/06/2024 10:19,25/06/2024 10:20,25/06/2024 10:21,25/06/2024 10:21
Name,AW-1-I-03-T-D1,AW-1-I-03-M-D1,AW-1-I-03-L-D1,AW-1-I-06-T-D1,AW-1-I-06-M-D1,AW-1-I-06-L-D1,AW-1-I-09-T-D1,AW-1-I-09-M-D1,AW-1-I-09-L-D1,AW-1-I-12-T-D1,AW-1-I-12-M-D1,AW-1-I-12-L-D1,AW-1-I-15-T-D1,AW-1-I-15-M-D1,AW-1-I-15-L-D1,AW-1-I-18-T-D1,AW-1-I-18-M-D1,AW-1-I-18-L-D1,AW-1-I-21-T-D1,AW-1-I-21-M-D1,AW-1-I-21-L-D1,AW-1-I-24-T-D1,AW-1-I-24-M-D1,AW-1-I-24-L-D1,AW-1-I-27-T-D1,AW-1-I-27-M-D1,AW-1-I-27-L-D1,AW-1-I-30-T-D1,AW-1-I-30-M-D1,AW-1-I-30-L-D1
GPS,12° 41.7635' N  36° 18.8299' E,12° 41.7635' N  36° 18.8299' E,12° 41.7635' N  36° 18.8299' E,12° 41.7655' N  36° 18.8324' E,12° 41.7655' N  36° 18.8324' E,12° 41.7655' N  36° 18.8324' E,12° 41.7655' N  36° 18.8324' E,12° 41.7655' N  36° 18.8324' E,12° 41.7655' N  36° 18.8324' E,12° 41.7683' N  36° 18.8337' E,12° 41.7683' N  36° 18.8337' E,12° 41.7683' N  36° 18.8337' E,12° 41.7743' N  36° 18.8417' E,12° 41.7743' N  36° 18.8417' E,12° 41.7743' N  36° 18.8417' E,12° 41.7743' N  36° 18.8417' E,12° 41.7743' N  36° 18.8417' E,12° 41.7743' N  36° 18.8417' E,12° 41.7765' N  36° 18.8362' E,12° 41.7765' N  36° 18.8362' E,12° 41.7765' N  36° 18.8362' E,12° 41.7771' N  36° 18.8332' E,12° 41.7771' N  36° 18.8332' E,12° 41.7771' N  36° 18.8332' E,12° 41.7771' N  36° 18.8332' E,12° 41.7771' N  36° 18.8332' E,12° 41.7798' N  36° 18.8337' E,12° 41.7798' N  36° 18.8337' E,12° 41.7798' N  36° 18.8337' E,12° 41.7798' N  36° 18.8337' E
-----------------------End of Absorbance ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmitance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
