25/06/2024 11:10,25/06/2024 11:11,25/06/2024 11:11,25/06/2024 11:11,25/06/2024 11:11,25/06/2024 11:12,25/06/2024 11:12,25/06/2024 11:12,25/06/2024 11:12,25/06/2024 11:12,25/06/2024 11:12,25/06/2024 11:14,25/06/2024 11:14,25/06/2024 11:14,25/06/2024 11:14,25/06/2024 11:14,25/06/2024 11:14,25/06/2024 11:15,25/06/2024 11:15,25/06/2024 11:15,25/06/2024 11:15,25/06/2024 11:15,25/06/2024 11:15,26/06/2024 10:35
AW-1-O-1-T-D2,,AW-1-O-1-M-D2,,AW-1-O-1-L-D2,,AW-1-O-2-T-D2,,AW-1-O-2-M-D2,,AW-1-O-2-L-D2,,AW-1-O-3-T-D2,,AW-1-O-3-M-D2,,AW-1-O-3-L-D2,,AW-1-O-4-T-D2,,AW-1-O-4-M-D2,,AW-1-O-4-L-D2,
12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 40.5058' N  36° 16.8475' E
Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark
4.05E+03,3.99E+03,4.07E+03,3.95E+03,4.05E+03,3.97E+03,4.05E+03,3.94E+03,4.03E+03,3.97E+03,4.05E+03,4.00E+03,4.07E+03,3.92E+03,4.02E+03,3.97E+03,4.04E+03,3.98E+03,4.07E+03,3.98E+03,4.04E+03,3.95E+03,4.01E+03,4.60E+03
4.03E+03,3.96E+03,4.03E+03,3.93E+03,4.04E+03,3.95E+03,4.08E+03,3.97E+03,4.03E+03,3.95E+03,4.05E+03,3.94E+03,4.04E+03,3.93E+03,4.01E+03,3.94E+03,4.02E+03,3.95E+03,4.08E+03,3.92E+03,4.00E+03,3.93E+03,4.01E+03,4.58E+03
3.97E+03,3.91E+03,4.02E+03,3.87E+03,4.00E+03,3.89E+03,3.97E+03,3.90E+03,4.03E+03,3.92E+03,3.97E+03,3.88E+03,3.98E+03,3.85E+03,3.97E+03,3.87E+03,3.99E+03,3.90E+03,3.99E+03,3.90E+03,3.97E+03,3.89E+03,3.97E+03,4.58E+03
4.02E+03,3.90E+03,4.00E+03,3.87E+03,3.98E+03,3.86E+03,3.98E+03,3.91E+03,4.00E+03,3.89E+03,3.99E+03,3.91E+03,4.02E+03,3.88E+03,3.99E+03,3.86E+03,3.98E+03,3.90E+03,4.00E+03,3.90E+03,3.96E+03,3.89E+03,3.96E+03,4.62E+03
4.01E+03,3.89E+03,4.02E+03,3.85E+03,3.98E+03,3.84E+03,3.98E+03,3.88E+03,4.00E+03,3.90E+03,3.98E+03,3.87E+03,3.97E+03,3.86E+03,3.98E+03,3.89E+03,3.98E+03,3.93E+03,4.02E+03,3.89E+03,4.00E+03,3.84E+03,3.95E+03,4.65E+03
4.00E+03,3.91E+03,4.01E+03,3.87E+03,3.98E+03,3.88E+03,4.01E+03,3.88E+03,4.04E+03,3.92E+03,3.99E+03,3.87E+03,4.01E+03,3.87E+03,4.02E+03,3.89E+03,3.97E+03,3.90E+03,4.00E+03,3.86E+03,3.98E+03,3.87E+03,3.98E+03,4.68E+03
4.00E+03,3.89E+03,4.00E+03,3.86E+03,4.00E+03,3.86E+03,4.00E+03,3.90E+03,4.01E+03,3.90E+03,4.00E+03,3.89E+03,3.98E+03,3.86E+03,3.98E+03,3.85E+03,3.99E+03,3.89E+03,4.02E+03,3.88E+03,3.99E+03,3.85E+03,3.97E+03,4.68E+03
