Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,25/06/2024 09:17,25/06/2024 09:18,25/06/2024 09:19,25/06/2024 09:23,25/06/2024 09:24,25/06/2024 09:25,25/06/2024 09:27,25/06/2024 09:28,25/06/2024 09:28,25/06/2024 09:30,25/06/2024 09:30,25/06/2024 09:30,25/06/2024 09:32,25/06/2024 09:32,25/06/2024 09:32,25/06/2024 09:35,25/06/2024 09:35,25/06/2024 09:36,25/06/2024 09:39,25/06/2024 09:39,25/06/2024 09:41,25/06/2024 09:43,25/06/2024 09:45,25/06/2024 09:46,25/06/2024 09:48,25/06/2024 09:48,25/06/2024 09:49,25/06/2024 09:51,25/06/2024 09:51,25/06/2024 09:51
Name,AW-1-T-03-T-D1,AW-1-T-03-M-D1,AW-1-T-03-L-D1,AW-1-T-06-T-D1,AW-1-T-06-M-D1,AW-1-T-06-L-D1,AW-1-T-09-T-D1,AW-1-T-09-M-D1,AW-1-T-09-L-D1,AW-1-T-12-T-D1,AW-1-T-12-M-D1,AW-1-T-12-L-D1,AW-1-T-15-T-D1,AW-1-T-15-M-D1,AW-1-T-15-L-D1,AW-1-T-18-T-D1,AW-1-T-18-M-D1,AW-1-T-18-L-D1,AW-1-T-21-T-D1,AW-1-T-21-M-D1,AW-1-T-21-L-D1,AW-1-T-24-T-D1,AW-1-T-24-M-D1,AW-1-T-24-L-D1,AW-1-T-27-T-D1,AW-1-T-27-M-D1,AW-1-T-27-L-D1,AW-1-T-30-T-D1,AW-1-T-30-M-D1,AW-1-T-30-L-D1
GPS,12° 41.7805' N  36° 18.8301' E,12° 41.7805' N  36° 18.8301' E,12° 41.7805' N  36° 18.8301' E,12° 41.7816' N  36° 18.8268' E,12° 41.7816' N  36° 18.8268' E,12° 41.7816' N  36° 18.8268' E,12° 41.7816' N  36° 18.8268' E,12° 41.7845' N  36° 18.8260' E,12° 41.7845' N  36° 18.8260' E,12° 41.7902' N  36° 18.8346' E,12° 41.7902' N  36° 18.8346' E,12° 41.7902' N  36° 18.8346' E,12° 41.7931' N  36° 18.8411' E,12° 41.7931' N  36° 18.8411' E,12° 41.7931' N  36° 18.8411' E,12° 41.7899' N  36° 18.8418' E,12° 41.7899' N  36° 18.8418' E,12° 41.7899' N  36° 18.8418' E,12° 41.7851' N  36° 18.8457' E,12° 41.7851' N  36° 18.8457' E,12° 41.7843' N  36° 18.8483' E,12° 41.7866' N  36° 18.8572' E,12° 41.7866' N  36° 18.8572' E,12° 41.7866' N  36° 18.8572' E,12° 41.7850' N  36° 18.8509' E,12° 41.7850' N  36° 18.8509' E,12° 41.7850' N  36° 18.8509' E,12° 41.7916' N  36° 18.8488' E,12° 41.7916' N  36° 18.8488' E,12° 41.7916' N  36° 18.8488' E
-----------------------End of Scope ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,25/06/2024 09:17,25/06/2024 09:18,25/06/2024 09:19,25/06/2024 09:23,25/06/2024 09:24,25/06/2024 09:25,25/06/2024 09:27,25/06/2024 09:28,25/06/2024 09:28,25/06/2024 09:30,25/06/2024 09:30,25/06/2024 09:30,25/06/2024 09:32,25/06/2024 09:32,25/06/2024 09:32,25/06/2024 09:35,25/06/2024 09:35,25/06/2024 09:36,25/06/2024 09:39,25/06/2024 09:39,25/06/2024 09:41,25/06/2024 09:43,25/06/2024 09:45,25/06/2024 09:46,25/06/2024 09:48,25/06/2024 09:48,25/06/2024 09:49,25/06/2024 09:51,25/06/2024 09:51,25/06/2024 09:51
Name,AW-1-T-03-T-D1,AW-1-T-03-M-D1,AW-1-T-03-L-D1,AW-1-T-06-T-D1,AW-1-T-06-M-D1,AW-1-T-06-L-D1,AW-1-T-09-T-D1,AW-1-T-09-M-D1,AW-1-T-09-L-D1,AW-1-T-12-T-D1,AW-1-T-12-M-D1,AW-1-T-12-L-D1,AW-1-T-15-T-D1,AW-1-T-15-M-D1,AW-1-T-15-L-D1,AW-1-T-18-T-D1,AW-1-T-18-M-D1,AW-1-T-18-L-D1,AW-1-T-21-T-D1,AW-1-T-21-M-D1,AW-1-T-21-L-D1,AW-1-T-24-T-D1,AW-1-T-24-M-D1,AW-1-T-24-L-D1,AW-1-T-27-T-D1,AW-1-T-27-M-D1,AW-1-T-27-L-D1,AW-1-T-30-T-D1,AW-1-T-30-M-D1,AW-1-T-30-L-D1
GPS,12° 41.7805' N  36° 18.8301' E,12° 41.7805' N  36° 18.8301' E,12° 41.7805' N  36° 18.8301' E,12° 41.7816' N  36° 18.8268' E,12° 41.7816' N  36° 18.8268' E,12° 41.7816' N  36° 18.8268' E,12° 41.7816' N  36° 18.8268' E,12° 41.7845' N  36° 18.8260' E,12° 41.7845' N  36° 18.8260' E,12° 41.7902' N  36° 18.8346' E,12° 41.7902' N  36° 18.8346' E,12° 41.7902' N  36° 18.8346' E,12° 41.7931' N  36° 18.8411' E,12° 41.7931' N  36° 18.8411' E,12° 41.7931' N  36° 18.8411' E,12° 41.7899' N  36° 18.8418' E,12° 41.7899' N  36° 18.8418' E,12° 41.7899' N  36° 18.8418' E,12° 41.7851' N  36° 18.8457' E,12° 41.7851' N  36° 18.8457' E,12° 41.7843' N  36° 18.8483' E,12° 41.7866' N  36° 18.8572' E,12° 41.7866' N  36° 18.8572' E,12° 41.7866' N  36° 18.8572' E,12° 41.7850' N  36° 18.8509' E,12° 41.7850' N  36° 18.8509' E,12° 41.7850' N  36° 18.8509' E,12° 41.7916' N  36° 18.8488' E,12° 41.7916' N  36° 18.8488' E,12° 41.7916' N  36° 18.8488' E
-----------------------End of Absorbance ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
