Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,28/06/2024 12:02,28/06/2024 12:02,28/06/2024 12:03,28/06/2024 12:06,28/06/2024 12:06,28/06/2024 12:07,28/06/2024 12:08,28/06/2024 12:10,28/06/2024 12:11,28/06/2024 12:16,28/06/2024 12:17,28/06/2024 12:17,28/06/2024 12:19,28/06/2024 12:19,28/06/2024 12:20,28/06/2024 12:23,28/06/2024 12:23,28/06/2024 12:24,28/06/2024 12:27,28/06/2024 12:28,28/06/2024 12:28,28/06/2024 12:29,28/06/2024 12:30,28/06/2024 12:30,28/06/2024 12:34,28/06/2024 12:36,28/06/2024 12:37,28/06/2024 12:40,28/06/2024 12:41,28/06/2024 12:41
Name,DG-1-I-03-T-D1,DG-1-I-03-M-D1,DG-1-I-03-L-D1,DG-1-I-06-T-D1,DG-1-I-06-M-D1,DG-1-I-06-L-D1,DG-1-I-09-T-D1,DG-1-I-09-M-D1,DG-1-I-09-L-D1,DG-1-I-12-T-D1,DG-1-I-12-M-D1,DG-1-I-12-L-D1,DG-1-I-15-T-D1,DG-1-I-15-M-D1,DG-1-I-15-L-D1,DG-1-I-18-T-D1,DG-1-I-18-M-D1,DG-1-I-18-L-D1,DG-1-I-21-T-D1,DG-1-I-21-M-D1,DG-1-I-21-L-D1,DG-1-I-24-T-D1,DG-1-I-24-M-D1,DG-1-I-24-L-D1,DG-1-I-27-T-D1,DG-1-I-27-M-D1,DG-1-I-27-L-D1,DG-1-I-30-T-D1,DG-1-I-30-M-D1,DG-1-I-30-L-D1
GPS,12° 44.5198' N  36° 8.1764' E,12° 44.5198' N  36° 8.1764' E,12° 44.5198' N  36° 8.1764' E,12° 44.5216' N  36° 8.2035' E,12° 44.5216' N  36° 8.2035' E,12° 44.5238' N  36° 8.2053' E,12° 44.5322' N  36° 8.1990' E,12° 44.5328' N  36° 8.1966' E,12° 44.5328' N  36° 8.1964' E,12° 44.5588' N  36° 8.1618' E,12° 44.5588' N  36° 8.1618' E,12° 44.5588' N  36° 8.1618' E,12° 44.5582' N  36° 8.1591' E,12° 44.5565' N  36° 8.1569' E,12° 44.5565' N  36° 8.1569' E,12° 44.5509' N  36° 8.1354' E,12° 44.5509' N  36° 8.1354' E,12° 44.5509' N  36° 8.1354' E,12° 44.5809' N  36° 8.1175' E,12° 44.5819' N  36° 8.1147' E,12° 44.5819' N  36° 8.1147' E,12° 44.5819' N  36° 8.1147' E,12° 44.5819' N  36° 8.1147' E,12° 44.5819' N  36° 8.1147' E,12° 44.5583' N  36° 8.1071' E,12° 44.5583' N  36° 8.1071' E,12° 44.5583' N  36° 8.1071' E,12° 44.5513' N  36° 8.1275' E,12° 44.5513' N  36° 8.1275' E,12° 44.5513' N  36° 8.1275' E
-----------------------End of Scope ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,28/06/2024 12:02,28/06/2024 12:02,28/06/2024 12:03,28/06/2024 12:06,28/06/2024 12:06,28/06/2024 12:07,28/06/2024 12:08,28/06/2024 12:10,28/06/2024 12:11,28/06/2024 12:16,28/06/2024 12:17,28/06/2024 12:17,28/06/2024 12:19,28/06/2024 12:19,28/06/2024 12:20,28/06/2024 12:23,28/06/2024 12:23,28/06/2024 12:24,28/06/2024 12:27,28/06/2024 12:28,28/06/2024 12:28,28/06/2024 12:29,28/06/2024 12:30,28/06/2024 12:30,28/06/2024 12:34,28/06/2024 12:36,28/06/2024 12:37,28/06/2024 12:40,28/06/2024 12:41,28/06/2024 12:41
Name,DG-1-I-03-T-D1,DG-1-I-03-M-D1,DG-1-I-03-L-D1,DG-1-I-06-T-D1,DG-1-I-06-M-D1,DG-1-I-06-L-D1,DG-1-I-09-T-D1,DG-1-I-09-M-D1,DG-1-I-09-L-D1,DG-1-I-12-T-D1,DG-1-I-12-M-D1,DG-1-I-12-L-D1,DG-1-I-15-T-D1,DG-1-I-15-M-D1,DG-1-I-15-L-D1,DG-1-I-18-T-D1,DG-1-I-18-M-D1,DG-1-I-18-L-D1,DG-1-I-21-T-D1,DG-1-I-21-M-D1,DG-1-I-21-L-D1,DG-1-I-24-T-D1,DG-1-I-24-M-D1,DG-1-I-24-L-D1,DG-1-I-27-T-D1,DG-1-I-27-M-D1,DG-1-I-27-L-D1,DG-1-I-30-T-D1,DG-1-I-30-M-D1,DG-1-I-30-L-D1
GPS,12° 44.5198' N  36° 8.1764' E,12° 44.5198' N  36° 8.1764' E,12° 44.5198' N  36° 8.1764' E,12° 44.5216' N  36° 8.2035' E,12° 44.5216' N  36° 8.2035' E,12° 44.5238' N  36° 8.2053' E,12° 44.5322' N  36° 8.1990' E,12° 44.5328' N  36° 8.1966' E,12° 44.5328' N  36° 8.1964' E,12° 44.5588' N  36° 8.1618' E,12° 44.5588' N  36° 8.1618' E,12° 44.5588' N  36° 8.1618' E,12° 44.5582' N  36° 8.1591' E,12° 44.5565' N  36° 8.1569' E,12° 44.5565' N  36° 8.1569' E,12° 44.5509' N  36° 8.1354' E,12° 44.5509' N  36° 8.1354' E,12° 44.5509' N  36° 8.1354' E,12° 44.5809' N  36° 8.1175' E,12° 44.5819' N  36° 8.1147' E,12° 44.5819' N  36° 8.1147' E,12° 44.5819' N  36° 8.1147' E,12° 44.5819' N  36° 8.1147' E,12° 44.5819' N  36° 8.1147' E,12° 44.5583' N  36° 8.1071' E,12° 44.5583' N  36° 8.1071' E,12° 44.5583' N  36° 8.1071' E,12° 44.5513' N  36° 8.1275' E,12° 44.5513' N  36° 8.1275' E,12° 44.5513' N  36° 8.1275' E
-----------------------End of Absorbance ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
