Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,28/06/2024 11:43,28/06/2024 11:44,28/06/2024 11:44,28/06/2024 11:47,28/06/2024 11:48,28/06/2024 11:48,28/06/2024 11:51,28/06/2024 11:51,28/06/2024 11:52,28/06/2024 11:55,28/06/2024 11:55,28/06/2024 11:56,28/06/2024 12:03,28/06/2024 12:03,28/06/2024 12:03,28/06/2024 12:10,28/06/2024 12:10,28/06/2024 12:11,28/06/2024 12:19,28/06/2024 12:19,28/06/2024 12:20,28/06/2024 12:23,28/06/2024 12:23,28/06/2024 12:24,28/06/2024 12:27,28/06/2024 12:28,28/06/2024 12:29,28/06/2024 12:30,28/06/2024 12:30,28/06/2024 12:31
Name,DG-1-T-03-T-D2,DG-1-T-03-M-D2,DG-1-T-03-L-D2,DG-1-T-06-T-D2,DG-1-T-06-M-D2,DG-1-T-06-L-D2,DG-1-T-09-T-D2,DG-1-T-09-M-D2,DG-1-T-09-L-D2,DG-1-T-12-T-D2,DG-1-T-12-M-D2,DG-1-T-12-L-D2,DG-1-T-15-T-D2,DG-1-T-15-M-D2,DG-1-T-15-L-D2,DG-1-T-18-T-D2,DG-1-T-18-M-D2,DG-1-T-18-L-D2,DG-1-T-21-T-D2,DG-1-T-21-M-D2,DG-1-T-21-L-D2,DG-1-T-24-T-D2,DG-1-T-24-M-D2,DG-1-T-24-L-D2,DG-1-T-27-T-D2,DG-1-T-27-M-D2,DG-1-T-27-L-D2,DG-1-T-30-T-D2,DG-1-T-30-M-D2,DG-1-T-30-L-D2
GPS,12° 44.5728' N  36° 8.0871' E,12° 44.5728' N  36° 8.0871' E,12° 44.5728' N  36° 8.0871' E,12° 44.5513' N  36° 8.0664' E,12° 44.5513' N  36° 8.0664' E,12° 44.5513' N  36° 8.0664' E,12° 44.5648' N  36° 8.0440' E,12° 44.5648' N  36° 8.0440' E,12° 44.5648' N  36° 8.0440' E,12° 44.5708' N  36° 8.0431' E,12° 44.5708' N  36° 8.0431' E,12° 44.5733' N  36° 8.0442' E,12° 44.5773' N  36° 8.0334' E,12° 44.5773' N  36° 8.0334' E,12° 44.5773' N  36° 8.0334' E,12° 44.5499' N  36° 8.0060' E,12° 44.5499' N  36° 8.0060' E,12° 44.5499' N  36° 8.0060' E,12° 44.5643' N  36° 7.9742' E,12° 44.5643' N  36° 7.9742' E,12° 44.5643' N  36° 7.9742' E,12° 44.5643' N  36° 7.9742' E,12° 44.5654' N  36° 7.9764' E,12° 44.5654' N  36° 7.9764' E,12° 44.5517' N  36° 7.9738' E,12° 44.5517' N  36° 7.9738' E,12° 44.5517' N  36° 7.9738' E,12° 44.5489' N  36° 7.9744' E,12° 44.5489' N  36° 7.9744' E,12° 44.5452' N  36° 7.9827' E
-----------------------End of Scope ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,28/06/2024 11:43,28/06/2024 11:44,28/06/2024 11:44,28/06/2024 11:47,28/06/2024 11:48,28/06/2024 11:48,28/06/2024 11:51,28/06/2024 11:51,28/06/2024 11:52,28/06/2024 11:55,28/06/2024 11:55,28/06/2024 11:56,28/06/2024 12:03,28/06/2024 12:03,28/06/2024 12:03,28/06/2024 12:10,28/06/2024 12:10,28/06/2024 12:11,28/06/2024 12:19,28/06/2024 12:19,28/06/2024 12:20,28/06/2024 12:23,28/06/2024 12:23,28/06/2024 12:24,28/06/2024 12:27,28/06/2024 12:28,28/06/2024 12:29,28/06/2024 12:30,28/06/2024 12:30,28/06/2024 12:31
Name,DG-1-T-03-T-D2,DG-1-T-03-M-D2,DG-1-T-03-L-D2,DG-1-T-06-T-D2,DG-1-T-06-M-D2,DG-1-T-06-L-D2,DG-1-T-09-T-D2,DG-1-T-09-M-D2,DG-1-T-09-L-D2,DG-1-T-12-T-D2,DG-1-T-12-M-D2,DG-1-T-12-L-D2,DG-1-T-15-T-D2,DG-1-T-15-M-D2,DG-1-T-15-L-D2,DG-1-T-18-T-D2,DG-1-T-18-M-D2,DG-1-T-18-L-D2,DG-1-T-21-T-D2,DG-1-T-21-M-D2,DG-1-T-21-L-D2,DG-1-T-24-T-D2,DG-1-T-24-M-D2,DG-1-T-24-L-D2,DG-1-T-27-T-D2,DG-1-T-27-M-D2,DG-1-T-27-L-D2,DG-1-T-30-T-D2,DG-1-T-30-M-D2,DG-1-T-30-L-D2
GPS,12° 44.5728' N  36° 8.0871' E,12° 44.5728' N  36° 8.0871' E,12° 44.5728' N  36° 8.0871' E,12° 44.5513' N  36° 8.0664' E,12° 44.5513' N  36° 8.0664' E,12° 44.5513' N  36° 8.0664' E,12° 44.5648' N  36° 8.0440' E,12° 44.5648' N  36° 8.0440' E,12° 44.5648' N  36° 8.0440' E,12° 44.5708' N  36° 8.0431' E,12° 44.5708' N  36° 8.0431' E,12° 44.5733' N  36° 8.0442' E,12° 44.5773' N  36° 8.0334' E,12° 44.5773' N  36° 8.0334' E,12° 44.5773' N  36° 8.0334' E,12° 44.5499' N  36° 8.0060' E,12° 44.5499' N  36° 8.0060' E,12° 44.5499' N  36° 8.0060' E,12° 44.5643' N  36° 7.9742' E,12° 44.5643' N  36° 7.9742' E,12° 44.5643' N  36° 7.9742' E,12° 44.5643' N  36° 7.9742' E,12° 44.5654' N  36° 7.9764' E,12° 44.5654' N  36° 7.9764' E,12° 44.5517' N  36° 7.9738' E,12° 44.5517' N  36° 7.9738' E,12° 44.5517' N  36° 7.9738' E,12° 44.5489' N  36° 7.9744' E,12° 44.5489' N  36° 7.9744' E,12° 44.5452' N  36° 7.9827' E
-----------------------End of Absorbance ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmitance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,28/06/2024 11:43,28/06/2024 11:44,28/06/2024 11:44,28/06/2024 11:47,28/06/2024 11:48,28/06/2024 11:48,28/06/2024 11:51,28/06/2024 11:51,28/06/2024 11:52,28/06/2024 11:55,28/06/2024 11:55,28/06/2024 11:56,28/06/2024 12:03,28/06/2024 12:03,28/06/2024 12:03,28/06/2024 12:10,28/06/2024 12:10,28/06/2024 12:11,28/06/2024 12:19,28/06/2024 12:19,28/06/2024 12:20,28/06/2024 12:23,28/06/2024 12:23,28/06/2024 12:24,28/06/2024 12:27,28/06/2024 12:28,28/06/2024 12:29,28/06/2024 12:30,28/06/2024 12:30,28/06/2024 12:31
Name,DG-1-T-03-T-D2,DG-1-T-03-M-D2,DG-1-T-03-L-D2,DG-1-T-06-T-D2,DG-1-T-06-M-D2,DG-1-T-06-L-D2,DG-1-T-09-T-D2,DG-1-T-09-M-D2,DG-1-T-09-L-D2,DG-1-T-12-T-D2,DG-1-T-12-M-D2,DG-1-T-12-L-D2,DG-1-T-15-T-D2,DG-1-T-15-M-D2,DG-1-T-15-L-D2,DG-1-T-18-T-D2,DG-1-T-18-M-D2,DG-1-T-18-L-D2,DG-1-T-21-T-D2,DG-1-T-21-M-D2,DG-1-T-21-L-D2,DG-1-T-24-T-D2,DG-1-T-24-M-D2,DG-1-T-24-L-D2,DG-1-T-27-T-D2,DG-1-T-27-M-D2,DG-1-T-27-L-D2,DG-1-T-30-T-D2,DG-1-T-30-M-D2,DG-1-T-30-L-D2
GPS,12° 44.5728' N  36° 8.0871' E,12° 44.5728' N  36° 8.0871' E,12° 44.5728' N  36° 8.0871' E,12° 44.5513' N  36° 8.0664' E,12° 44.5513' N  36° 8.0664' E,12° 44.5513' N  36° 8.0664' E,12° 44.5648' N  36° 8.0440' E,12° 44.5648' N  36° 8.0440' E,12° 44.5648' N  36° 8.0440' E,12° 44.5708' N  36° 8.0431' E,12° 44.5708' N  36° 8.0431' E,12° 44.5733' N  36° 8.0442' E,12° 44.5773' N  36° 8.0334' E,12° 44.5773' N  36° 8.0334' E,12° 44.5773' N  36° 8.0334' E,12° 44.5499' N  36° 8.0060' E,12° 44.5499' N  36° 8.0060' E,12° 44.5499' N  36° 8.0060' E,12° 44.5643' N  36° 7.9742' E,12° 44.5643' N  36° 7.9742' E,12° 44.5643' N  36° 7.9742' E,12° 44.5643' N  36° 7.9742' E,12° 44.5654' N  36° 7.9764' E,12° 44.5654' N  36° 7.9764' E,12° 44.5517' N  36° 7.9738' E,12° 44.5517' N  36° 7.9738' E,12° 44.5517' N  36° 7.9738' E,12° 44.5489' N  36° 7.9744' E,12° 44.5489' N  36° 7.9744' E,12° 44.5452' N  36° 7.9827' E
NDVI,0.537575378,0.434568346,0.481709222,0.615438811,0.585334392,0.53394478,0.455850377,0.487534705,0.6125419,0.543852932,0.479639639,0.494751646,0.513556676,0.510210439,0.539416961,0.490032602,0.611054342,0.580084911,0.473545554,0.492833541,0.55994413,0.544895434,0.444017972,0.599373415,0.502526967,0.408477524,0.484502368,0.435076102,0.434404256,0.51154379
SR,3.325029219,2.537120686,2.858837709,4.200732823,3.823163437,3.291336976,2.675459682,2.902703304,4.161848465,3.384550813,2.843490297,2.958449311,3.111475893,3.083386333,3.3423223,2.921819331,4.142106505,3.762867667,2.798999161,2.94347845,3.54487745,3.394594447,2.597238576,3.992179942,3.020318427,2.381105675,2.879746243,2.540299865,2.536094499,3.094532854
