Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,26/06/2024 10:35,26/06/2024 10:36,26/06/2024 10:36,26/06/2024 10:37,26/06/2024 10:38,26/06/2024 10:38,26/06/2024 10:39,26/06/2024 10:39,26/06/2024 10:40,26/06/2024 10:41,26/06/2024 10:41,26/06/2024 10:41,26/06/2024 10:48,26/06/2024 10:49,26/06/2024 10:49,26/06/2024 10:50,26/06/2024 10:50,26/06/2024 10:50,26/06/2024 10:52,26/06/2024 10:53,26/06/2024 10:53,26/06/2024 10:54,26/06/2024 10:54,26/06/2024 10:54,26/06/2024 10:55,26/06/2024 10:55,26/06/2024 10:55,26/06/2024 10:56,26/06/2024 10:56,26/06/2024 10:56
Name,LLT-1-T-03-T-D2,LLT-1-T-03-M-D2,LLT-1-T-03-L-D2,LLT-1-T-06-T-D2,LLT-1-T-06-M-D2,LLT-1-T-06-L-D2,LLT-1-T-09-T-D2,LLT-1-T-09-M-D2,LLT-1-T-09-L-D2,LLT-1-T-12-T-D2,LLT-1-T-12-M-D2,LLT-1-T-12-L-D2,LLT-1-T-15-T-D2,LLT-1-T-15-M-D2,LLT-1-T-15-L-D2,LLT-1-T-18-T-D2,LLT-1-T-18-M-D2,LLT-1-T-18-L-D2,LLT-1-T-21-T-D2,LLT-1-T-21-M-D2,LLT-1-T-21-L-D2,LLT-1-T-24-T-D2,LLT-1-T-24-M-D2,LLT-1-T-24-L-D2,LLT-1-T-27-T-D2,LLT-1-T-27-M-D2,LLT-1-T-27-L-D2,LLT-1-T-30-T-D2,LLT-1-T-30-M-D2,LLT-1-T-30-L-D2
GPS,12° 40.5058' N  36° 16.8475' E,12° 40.5058' N  36° 16.8475' E,12° 40.5058' N  36° 16.8475' E,12° 40.5035' N  36° 16.8505' E,12° 40.5035' N  36° 16.8505' E,12° 40.5035' N  36° 16.8505' E,12° 40.5046' N  36° 16.8567' E,12° 40.5046' N  36° 16.8567' E,12° 40.5046' N  36° 16.8567' E,12° 40.5087' N  36° 16.8496' E,12° 40.5087' N  36° 16.8496' E,12° 40.5087' N  36° 16.8496' E,12° 40.5113' N  36° 16.8429' E,12° 40.5113' N  36° 16.8429' E,12° 40.5113' N  36° 16.8429' E,12° 40.5132' N  36° 16.8399' E,12° 40.5132' N  36° 16.8399' E,12° 40.5132' N  36° 16.8399' E,12° 40.5230' N  36° 16.8360' E,12° 40.5230' N  36° 16.8360' E,12° 40.5230' N  36° 16.8360' E,12° 40.5223' N  36° 16.8299' E,12° 40.5223' N  36° 16.8299' E,12° 40.5223' N  36° 16.8299' E,12° 40.5244' N  36° 16.8266' E,12° 40.5244' N  36° 16.8266' E,12° 40.5244' N  36° 16.8266' E,12° 40.5280' N  36° 16.8304' E,12° 40.5280' N  36° 16.8304' E,12° 40.5280' N  36° 16.8304' E
-----------------------End of Scope ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,26/06/2024 10:35,26/06/2024 10:36,26/06/2024 10:36,26/06/2024 10:37,26/06/2024 10:38,26/06/2024 10:38,26/06/2024 10:39,26/06/2024 10:39,26/06/2024 10:40,26/06/2024 10:41,26/06/2024 10:41,26/06/2024 10:41,26/06/2024 10:48,26/06/2024 10:49,26/06/2024 10:49,26/06/2024 10:50,26/06/2024 10:50,26/06/2024 10:50,26/06/2024 10:52,26/06/2024 10:53,26/06/2024 10:53,26/06/2024 10:54,26/06/2024 10:54,26/06/2024 10:54,26/06/2024 10:55,26/06/2024 10:55,26/06/2024 10:55,26/06/2024 10:56,26/06/2024 10:56,26/06/2024 10:56
Name,LLT-1-T-03-T-D2,LLT-1-T-03-M-D2,LLT-1-T-03-L-D2,LLT-1-T-06-T-D2,LLT-1-T-06-M-D2,LLT-1-T-06-L-D2,LLT-1-T-09-T-D2,LLT-1-T-09-M-D2,LLT-1-T-09-L-D2,LLT-1-T-12-T-D2,LLT-1-T-12-M-D2,LLT-1-T-12-L-D2,LLT-1-T-15-T-D2,LLT-1-T-15-M-D2,LLT-1-T-15-L-D2,LLT-1-T-18-T-D2,LLT-1-T-18-M-D2,LLT-1-T-18-L-D2,LLT-1-T-21-T-D2,LLT-1-T-21-M-D2,LLT-1-T-21-L-D2,LLT-1-T-24-T-D2,LLT-1-T-24-M-D2,LLT-1-T-24-L-D2,LLT-1-T-27-T-D2,LLT-1-T-27-M-D2,LLT-1-T-27-L-D2,LLT-1-T-30-T-D2,LLT-1-T-30-M-D2,LLT-1-T-30-L-D2
GPS,12° 40.5058' N  36° 16.8475' E,12° 40.5058' N  36° 16.8475' E,12° 40.5058' N  36° 16.8475' E,12° 40.5035' N  36° 16.8505' E,12° 40.5035' N  36° 16.8505' E,12° 40.5035' N  36° 16.8505' E,12° 40.5046' N  36° 16.8567' E,12° 40.5046' N  36° 16.8567' E,12° 40.5046' N  36° 16.8567' E,12° 40.5087' N  36° 16.8496' E,12° 40.5087' N  36° 16.8496' E,12° 40.5087' N  36° 16.8496' E,12° 40.5113' N  36° 16.8429' E,12° 40.5113' N  36° 16.8429' E,12° 40.5113' N  36° 16.8429' E,12° 40.5132' N  36° 16.8399' E,12° 40.5132' N  36° 16.8399' E,12° 40.5132' N  36° 16.8399' E,12° 40.5230' N  36° 16.8360' E,12° 40.5230' N  36° 16.8360' E,12° 40.5230' N  36° 16.8360' E,12° 40.5223' N  36° 16.8299' E,12° 40.5223' N  36° 16.8299' E,12° 40.5223' N  36° 16.8299' E,12° 40.5244' N  36° 16.8266' E,12° 40.5244' N  36° 16.8266' E,12° 40.5244' N  36° 16.8266' E,12° 40.5280' N  36° 16.8304' E,12° 40.5280' N  36° 16.8304' E,12° 40.5280' N  36° 16.8304' E
-----------------------End of Absorbance ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
