Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,27/06/2024 10:27,27/06/2024 10:28,27/06/2024 10:28,27/06/2024 10:29,27/06/2024 10:29,27/06/2024 10:30,27/06/2024 10:30,27/06/2024 10:31,27/06/2024 10:31,27/06/2024 10:32,27/06/2024 10:33,27/06/2024 10:33,27/06/2024 10:36,27/06/2024 10:37,27/06/2024 10:37,27/06/2024 10:39,27/06/2024 10:39,27/06/2024 10:40,27/06/2024 10:44,27/06/2024 10:44,27/06/2024 10:45,27/06/2024 10:47,27/06/2024 10:47,27/06/2024 10:47,27/06/2024 10:48,27/06/2024 10:49,27/06/2024 10:49,27/06/2024 10:51,27/06/2024 10:51,27/06/2024 10:52
Name,LLT-2-I-03-T-D1,LLT-2-I-03-M-D1,LLT-2-I-03-L-D1,LLT-2-I-06-T-D1,LLT-2-I-06-M-D1,LLT-2-I-06-L-D1,LLT-2-I-09-T-D1,LLT-2-I-09-M-D1,LLT-2-I-09-L-D1,LLT-2-I-12-T-D1,LLT-2-I-12-M-D1,LLT-2-I-12-L-D1,LLT-2-I-15-T-D1,LLT-2-I-15-M-D1,LLT-2-I-15-L-D1,LLT-2-I-18-T-D1,LLT-2-I-18-M-D1,LLT-2-I-18-L-D1,LLT-2-I-21-T-D1,LLT-2-I-21-M-D1,LLT-2-I-21-L-D1,LLT-2-I-24-T-D1,LLT-2-I-24-M-D1,LLT-2-I-24-L-D1,LLT-2-I-27-T-D1,LLT-2-I-27-M-D1,LLT-2-I-27-L-D1,LLT-2-I-30-T-D1,LLT-2-I-30-M-D1,LLT-2-I-30-L-D1
GPS,12° 40.4540' N  36° 16.7241' E,12° 40.4540' N  36° 16.7241' E,12° 40.4540' N  36° 16.7241' E,12° 40.4592' N  36° 16.7222' E,12° 40.4592' N  36° 16.7222' E,12° 40.4592' N  36° 16.7222' E,12° 40.4592' N  36° 16.7222' E,12° 40.4609' N  36° 16.7219' E,12° 40.4609' N  36° 16.7219' E,12° 40.4556' N  36° 16.7150' E,12° 40.4556' N  36° 16.7150' E,12° 40.4556' N  36° 16.7150' E,12° 40.4476' N  36° 16.7122' E,12° 40.4476' N  36° 16.7122' E,12° 40.4476' N  36° 16.7122' E,12° 40.4618' N  36° 16.7095' E,12° 40.4618' N  36° 16.7095' E,12° 40.4618' N  36° 16.7095' E,12° 40.4507' N  36° 16.7054' E,12° 40.4507' N  36° 16.7054' E,12° 40.4507' N  36° 16.7054' E,12° 40.4539' N  36° 16.7032' E,12° 40.4539' N  36° 16.7032' E,12° 40.4539' N  36° 16.7032' E,12° 40.4518' N  36° 16.7007' E,12° 40.4518' N  36° 16.7007' E,12° 40.4518' N  36° 16.7007' E,12° 40.4477' N  36° 16.6942' E,12° 40.4477' N  36° 16.6942' E,12° 40.4477' N  36° 16.6942' E
-----------------------End of Scope ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,27/06/2024 10:27,27/06/2024 10:28,27/06/2024 10:28,27/06/2024 10:29,27/06/2024 10:29,27/06/2024 10:30,27/06/2024 10:30,27/06/2024 10:31,27/06/2024 10:31,27/06/2024 10:32,27/06/2024 10:33,27/06/2024 10:33,27/06/2024 10:36,27/06/2024 10:37,27/06/2024 10:37,27/06/2024 10:39,27/06/2024 10:39,27/06/2024 10:40,27/06/2024 10:44,27/06/2024 10:44,27/06/2024 10:45,27/06/2024 10:47,27/06/2024 10:47,27/06/2024 10:47,27/06/2024 10:48,27/06/2024 10:49,27/06/2024 10:49,27/06/2024 10:51,27/06/2024 10:51,27/06/2024 10:52
Name,LLT-2-I-03-T-D1,LLT-2-I-03-M-D1,LLT-2-I-03-L-D1,LLT-2-I-06-T-D1,LLT-2-I-06-M-D1,LLT-2-I-06-L-D1,LLT-2-I-09-T-D1,LLT-2-I-09-M-D1,LLT-2-I-09-L-D1,LLT-2-I-12-T-D1,LLT-2-I-12-M-D1,LLT-2-I-12-L-D1,LLT-2-I-15-T-D1,LLT-2-I-15-M-D1,LLT-2-I-15-L-D1,LLT-2-I-18-T-D1,LLT-2-I-18-M-D1,LLT-2-I-18-L-D1,LLT-2-I-21-T-D1,LLT-2-I-21-M-D1,LLT-2-I-21-L-D1,LLT-2-I-24-T-D1,LLT-2-I-24-M-D1,LLT-2-I-24-L-D1,LLT-2-I-27-T-D1,LLT-2-I-27-M-D1,LLT-2-I-27-L-D1,LLT-2-I-30-T-D1,LLT-2-I-30-M-D1,LLT-2-I-30-L-D1
GPS,12° 40.4540' N  36° 16.7241' E,12° 40.4540' N  36° 16.7241' E,12° 40.4540' N  36° 16.7241' E,12° 40.4592' N  36° 16.7222' E,12° 40.4592' N  36° 16.7222' E,12° 40.4592' N  36° 16.7222' E,12° 40.4592' N  36° 16.7222' E,12° 40.4609' N  36° 16.7219' E,12° 40.4609' N  36° 16.7219' E,12° 40.4556' N  36° 16.7150' E,12° 40.4556' N  36° 16.7150' E,12° 40.4556' N  36° 16.7150' E,12° 40.4476' N  36° 16.7122' E,12° 40.4476' N  36° 16.7122' E,12° 40.4476' N  36° 16.7122' E,12° 40.4618' N  36° 16.7095' E,12° 40.4618' N  36° 16.7095' E,12° 40.4618' N  36° 16.7095' E,12° 40.4507' N  36° 16.7054' E,12° 40.4507' N  36° 16.7054' E,12° 40.4507' N  36° 16.7054' E,12° 40.4539' N  36° 16.7032' E,12° 40.4539' N  36° 16.7032' E,12° 40.4539' N  36° 16.7032' E,12° 40.4518' N  36° 16.7007' E,12° 40.4518' N  36° 16.7007' E,12° 40.4518' N  36° 16.7007' E,12° 40.4477' N  36° 16.6942' E,12° 40.4477' N  36° 16.6942' E,12° 40.4477' N  36° 16.6942' E
-----------------------End of Absorbance ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
