Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,27/06/2024 10:40,27/06/2024 10:41,27/06/2024 10:41,27/06/2024 10:44,27/06/2024 10:45,27/06/2024 10:46,27/06/2024 10:48,27/06/2024 10:49,27/06/2024 10:49,27/06/2024 10:50,27/06/2024 10:50,27/06/2024 10:51,27/06/2024 10:52,27/06/2024 10:52,27/06/2024 10:52,27/06/2024 10:55,27/06/2024 10:56,27/06/2024 10:56,27/06/2024 10:57,27/06/2024 10:57,27/06/2024 10:58,27/06/2024 10:59,27/06/2024 10:59,27/06/2024 11:00,27/06/2024 11:01,27/06/2024 11:01,27/06/2024 11:01,27/06/2024 11:04,27/06/2024 11:05,27/06/2024 11:05,27/06/2024 11:05
Name,LLT-2-T-03-T-D2,LLT-2-T-03-M-D2,LLT-2-T-03-L-D2,LLT-2-T-06-T-D2,LLT-2-T-06-M-D2,LLT-2-T-06-L-D2,LLT-2-T-09-T-D2,LLT-2-T-09-M-D2,LLT-2-T-09-L-D2,LLT-2-T-12-T-D2,LLT-2-T-12-M-D2,LLT-2-T-12-L-D2,LLT-2-T-15-T-D2,LLT-2-T-15-M-D2,LLT-2-T-15-L-D2,LLT-2-T-18-T-D2,LLT-2-T-18-M-D2,LLT-2-T-18-L-D2,LLT-2-T-21-T-D2,LLT-2-T-21-M-D2,LLT-2-T-21-L-D2,LLT-2-T-24-T-D2,LLT-2-T-24-M-D2,LLT-2-T-24-L-D2,LLT-2-T-27-T-D2,LLT-2-T-27-M-D2,LLT-2-T-27-L-D2,LLT-2-T-30-T-D2,LLT-2-T-30-M-D2,LLT-2-T-30-M-D2,LLT-2-T-30-L-D2
GPS,12° 40.4598' N  36° 16.6928' E,12° 40.4598' N  36° 16.6928' E,12° 40.4598' N  36° 16.6928' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4679' N  36° 16.6824' E,12° 40.4679' N  36° 16.6824' E,12° 40.4679' N  36° 16.6824' E,12° 40.4743' N  36° 16.6790' E,12° 40.4743' N  36° 16.6790' E,12° 40.4743' N  36° 16.6790' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.5008' N  36° 16.6863' E,12° 40.5008' N  36° 16.6863' E,12° 40.5008' N  36° 16.6863' E,12° 40.4999' N  36° 16.6830' E,12° 40.4999' N  36° 16.6830' E,12° 40.4997' N  36° 16.6803' E,12° 40.4997' N  36° 16.6803' E,12° 40.4993' N  36° 16.6774' E,12° 40.4993' N  36° 16.6774' E,12° 40.4993' N  36° 16.6774' E
-----------------------End of Scope ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,27/06/2024 10:40,27/06/2024 10:41,27/06/2024 10:41,27/06/2024 10:44,27/06/2024 10:45,27/06/2024 10:46,27/06/2024 10:48,27/06/2024 10:49,27/06/2024 10:49,27/06/2024 10:50,27/06/2024 10:50,27/06/2024 10:51,27/06/2024 10:52,27/06/2024 10:52,27/06/2024 10:52,27/06/2024 10:55,27/06/2024 10:56,27/06/2024 10:56,27/06/2024 10:57,27/06/2024 10:57,27/06/2024 10:58,27/06/2024 10:59,27/06/2024 10:59,27/06/2024 11:00,27/06/2024 11:01,27/06/2024 11:01,27/06/2024 11:01,27/06/2024 11:04,27/06/2024 11:05,27/06/2024 11:05,27/06/2024 11:05
Name,LLT-2-T-03-T-D2,LLT-2-T-03-M-D2,LLT-2-T-03-L-D2,LLT-2-T-06-T-D2,LLT-2-T-06-M-D2,LLT-2-T-06-L-D2,LLT-2-T-09-T-D2,LLT-2-T-09-M-D2,LLT-2-T-09-L-D2,LLT-2-T-12-T-D2,LLT-2-T-12-M-D2,LLT-2-T-12-L-D2,LLT-2-T-15-T-D2,LLT-2-T-15-M-D2,LLT-2-T-15-L-D2,LLT-2-T-18-T-D2,LLT-2-T-18-M-D2,LLT-2-T-18-L-D2,LLT-2-T-21-T-D2,LLT-2-T-21-M-D2,LLT-2-T-21-L-D2,LLT-2-T-24-T-D2,LLT-2-T-24-M-D2,LLT-2-T-24-L-D2,LLT-2-T-27-T-D2,LLT-2-T-27-M-D2,LLT-2-T-27-L-D2,LLT-2-T-30-T-D2,LLT-2-T-30-M-D2,LLT-2-T-30-M-D2,LLT-2-T-30-L-D2
GPS,12° 40.4598' N  36° 16.6928' E,12° 40.4598' N  36° 16.6928' E,12° 40.4598' N  36° 16.6928' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4679' N  36° 16.6824' E,12° 40.4679' N  36° 16.6824' E,12° 40.4679' N  36° 16.6824' E,12° 40.4743' N  36° 16.6790' E,12° 40.4743' N  36° 16.6790' E,12° 40.4743' N  36° 16.6790' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.5008' N  36° 16.6863' E,12° 40.5008' N  36° 16.6863' E,12° 40.5008' N  36° 16.6863' E,12° 40.4999' N  36° 16.6830' E,12° 40.4999' N  36° 16.6830' E,12° 40.4997' N  36° 16.6803' E,12° 40.4997' N  36° 16.6803' E,12° 40.4993' N  36° 16.6774' E,12° 40.4993' N  36° 16.6774' E,12° 40.4993' N  36° 16.6774' E
-----------------------End of Absorbance ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmitance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,27/06/2024 10:40,27/06/2024 10:41,27/06/2024 10:41,27/06/2024 10:44,27/06/2024 10:45,27/06/2024 10:46,27/06/2024 10:48,27/06/2024 10:49,27/06/2024 10:49,27/06/2024 10:50,27/06/2024 10:50,27/06/2024 10:51,27/06/2024 10:52,27/06/2024 10:52,27/06/2024 10:52,27/06/2024 10:55,27/06/2024 10:56,27/06/2024 10:56,27/06/2024 10:57,27/06/2024 10:57,27/06/2024 10:58,27/06/2024 10:59,27/06/2024 10:59,27/06/2024 11:00,27/06/2024 11:01,27/06/2024 11:01,27/06/2024 11:01,27/06/2024 11:04,27/06/2024 11:05,27/06/2024 11:05,27/06/2024 11:05
Name,LLT-2-T-03-T-D2,LLT-2-T-03-M-D2,LLT-2-T-03-L-D2,LLT-2-T-06-T-D2,LLT-2-T-06-M-D2,LLT-2-T-06-L-D2,LLT-2-T-09-T-D2,LLT-2-T-09-M-D2,LLT-2-T-09-L-D2,LLT-2-T-12-T-D2,LLT-2-T-12-M-D2,LLT-2-T-12-L-D2,LLT-2-T-15-T-D2,LLT-2-T-15-M-D2,LLT-2-T-15-L-D2,LLT-2-T-18-T-D2,LLT-2-T-18-M-D2,LLT-2-T-18-L-D2,LLT-2-T-21-T-D2,LLT-2-T-21-M-D2,LLT-2-T-21-L-D2,LLT-2-T-24-T-D2,LLT-2-T-24-M-D2,LLT-2-T-24-L-D2,LLT-2-T-27-T-D2,LLT-2-T-27-M-D2,LLT-2-T-27-L-D2,LLT-2-T-30-T-D2,LLT-2-T-30-M-D2,LLT-2-T-30-M-D2,LLT-2-T-30-L-D2
GPS,12° 40.4598' N  36° 16.6928' E,12° 40.4598' N  36° 16.6928' E,12° 40.4598' N  36° 16.6928' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4650' N  36° 16.6864' E,12° 40.4679' N  36° 16.6824' E,12° 40.4679' N  36° 16.6824' E,12° 40.4679' N  36° 16.6824' E,12° 40.4743' N  36° 16.6790' E,12° 40.4743' N  36° 16.6790' E,12° 40.4743' N  36° 16.6790' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.4944' N  36° 16.6886' E,12° 40.5008' N  36° 16.6863' E,12° 40.5008' N  36° 16.6863' E,12° 40.5008' N  36° 16.6863' E,12° 40.4999' N  36° 16.6830' E,12° 40.4999' N  36° 16.6830' E,12° 40.4997' N  36° 16.6803' E,12° 40.4997' N  36° 16.6803' E,12° 40.4993' N  36° 16.6774' E,12° 40.4993' N  36° 16.6774' E,12° 40.4993' N  36° 16.6774' E
NDVI,0.570044109,0.485003834,0.400740287,0.360604811,0.571694501,0.594063372,0.584168204,0.520665634,0.620379115,0.507228349,0.523516389,0.586068924,0.419436972,0.465721079,0.433460301,0.56841838,0.538188347,0.585178435,0.445867637,0.589791256,0.460582955,0.473682374,0.44827153,0.553301956,0.5369708,0.440830115,0.519909752,0.62080246,0.571581285,0.571581285,0.545695859
SR,3.65163995,2.883524058,2.337451118,2.127955971,3.669564146,3.92687741,3.809637022,3.172452764,4.268414045,3.058675041,3.197416146,3.831722276,2.444931738,2.743363103,2.530202741,3.634117641,3.33076989,3.821350119,2.609245972,3.875566471,2.707706343,2.799986739,2.624971537,3.477297416,3.319382016,2.576730531,3.165883414,4.27429582,3.668330137,3.668330137,3.402337155
MCARI1,22.90401229,23.84777312,21.72892751,17.44841935,21.08452522,19.12214879,21.6440787,19.90048268,22.66992844,20.7699999,20.6333897,22.27878689,20.02897759,17.19317135,18.72867229,20.92502843,20.07886921,19.7535333,21.26524126,20.99995111,20.75094701,23.03033519,20.21110001,22.25758285,19.85179437,20.20265927,21.69165631,16.61110318,16.59291703,16.59291703,15.27402837
OSAVI,0.773097587,0.713557673,0.607989155,0.568051104,0.745025856,0.758312977,0.756006069,0.703811295,0.790015634,0.697010469,0.718499442,0.772414648,0.60263178,0.647553212,0.61042166,0.747267036,0.704973642,0.761740563,0.641351145,0.787637617,0.649087606,0.676378752,0.645167341,0.748595433,0.713620724,0.643004559,0.71094313,0.802077453,0.75188389,0.75188389,0.729520561
G,2.226902568,2.279735419,1.846021683,1.755104073,1.90123203,1.814578099,1.881689468,1.880537449,1.953364319,1.896943243,1.961221695,2.066917453,1.68318016,1.724022535,1.687520527,1.926968135,1.746083683,1.972099116,1.843705739,2.225104257,1.814262756,1.95087085,1.860823328,2.096236946,1.896586783,1.916263323,2.008823445,2.091674219,1.973283237,1.973283237,1.865129113
MCARI,7.190271129,9.477648574,7.667558051,6.266486273,5.029965001,4.309018562,5.112002765,5.540382323,5.256181377,5.967349421,6.125906373,6.271527646,5.75799399,4.962912811,5.422736536,5.255565208,4.654438588,5.087364226,6.769287877,6.659061568,6.06791698,7.362708834,6.340664695,6.756715345,5.186192977,6.802740936,6.589892479,4.468335586,4.663145775,4.663145775,4.273021148
TCARI,-6.303021489,-8.062176349,-7.292909543,-6.146102498,-5.076032261,-4.238466895,-5.012238881,-5.347251366,-4.993308604,-5.700261352,-5.594042302,-5.608983069,-6.286986716,-4.928759767,-5.79400827,-5.067230017,-4.97490829,-4.767118169,-6.556435401,-5.672250928,-6.153005163,-6.888993941,-6.19539977,-6.064910125,-5.203067675,-6.452203343,-6.153545591,-3.882825739,-4.184499452,-4.184499452,-3.833169242
TVI,842.362712,864.1372278,786.2668467,631.7510088,781.6089099,716.6762246,805.0708669,734.1218676,845.8532118,762.4724111,759.4844343,826.2185782,729.8849472,633.1251156,687.2032235,774.2229544,745.0779132,731.8359185,774.6493248,775.6436277,757.8701586,837.5428235,736.6326616,817.5940313,732.8977807,734.573611,795.1391522,624.3256374,622.0331632,622.0331632,574.9249055
ZMI,1.60738335,1.407037908,1.349116169,1.310783394,1.720226109,1.783101648,1.748293656,1.580709366,1.823281482,1.547857999,1.566636843,1.674155177,1.433718652,1.494710111,1.426991645,1.694151375,1.677535632,1.701704686,1.423878958,1.641757103,1.475602868,1.459182917,1.449613899,1.590096481,1.615292932,1.40604638,1.531817757,1.791435943,1.665915764,1.665915764,1.647909088
SPRI,0.814335547,0.805579403,0.639624624,0.572946242,0.857512936,0.852114826,0.817121998,0.737070943,0.876596116,0.732761755,0.754655487,0.855405908,0.561767629,0.590190297,0.588434048,0.756106258,0.792193065,0.847875506,0.635606478,0.829695315,0.675963734,0.607346482,0.637391675,0.851427317,0.839323179,0.659712144,0.817667029,0.811542278,0.828304324,0.828304324,0.687219549
NPQI,-0.073123625,-0.077558807,-0.102550904,-0.158146796,-0.080617923,-0.056213408,-0.039012503,-0.057746415,-0.029149909,-0.081799044,-0.079628409,-0.054591364,-0.11033316,-0.098187273,-0.093296224,-0.080427367,-0.054431658,-0.039427971,-0.096541718,-0.045891567,-0.086642203,-0.135108285,-0.12391737,-0.045175059,-0.060838924,-0.112768852,-0.06126518,-0.058697146,-0.050439748,-0.050439748,-0.086141817
PRI,0.009986607,0.008498576,-0.000545523,-0.011174367,0.025089573,0.026335693,0.022440548,0.017265311,0.027543325,0.008072328,0.010071144,0.025334262,-0.001562185,0.004756149,-0.001686776,0.018719191,0.018512655,0.024811206,0.001536545,0.023859865,0.00661196,-0.000215718,0.007204013,0.018723825,0.019423494,0.009377787,0.019828225,0.023828965,0.021388504,0.021388504,0.012249513
NPCI,0.102331927,0.107677678,0.219791391,0.271499271,0.076708518,0.079846655,0.100641565,0.151363454,0.065759426,0.154226768,0.139824892,0.077931245,0.280600239,0.257711108,0.259101693,0.138883249,0.115951199,0.082323995,0.222788016,0.093078166,0.193343244,0.244286794,0.221454848,0.080247646,0.087356492,0.205028238,0.100311536,0.104031645,0.09390979,0.09390979,0.185382188
Ctr1,2.169941169,2.360142836,2.740000069,3.249725175,1.844644506,1.778585018,1.905519922,2.192954804,1.724285503,2.27750006,2.219195993,1.912576657,2.945930665,2.841724852,2.731992585,2.152758533,1.907387728,1.868498696,2.682772188,2.095562904,2.439365635,2.983262356,2.764562316,1.964088003,1.883059555,2.665492234,2.020461206,2.076151425,1.979795903,1.979795903,2.460217419
